text,label,notes
"Christian McCaffrey (Achilles) was a full participant in Wednesday's practice and is not on the injury report heading into Sunday's game.",positive,"cleared practice participation"
"Ja'Marr Chase suffered a hamstring strain in Sunday's loss and is considered week-to-week, per the team's initial estimate.",negative,"new soft-tissue injury, week-to-week"
"The team announced that its starting running back has been ruled out for Sunday's game with a high ankle sprain.",negative,"ruled out"
"Breece Hall was a limited participant in Thursday's practice, logging some team drills for the first time since his injury.",positive,"practice progression upward"
"Coach confirmed the rookie wide receiver will move into the starting lineup this week after an increase in offensive snaps.",positive,"role/opportunity increase"
"The veteran tight end was seen wearing a walking boot after the game, though the team has not yet provided an official diagnosis.",negative,"unconfirmed but concerning"
"Quarterback took every offensive snap in Sunday's win and posted his second-highest completion percentage of the season.",positive,"strong performance"
"The running back committee remains unresolved, with three backs each seeing between 8 and 12 touches in Sunday's game.",neutral,"no clear signal either way"
"The team placed its top cornerback on injured reserve, ending his season and opening a starting role elsewhere on defense.",neutral,"mixed for that player, positive for teammates"
"Wide receiver was a non-participant in practice for the third straight day and is trending toward missing Sunday's game.",negative,"trending toward missing game"
"The team's offensive coordinator said the passing game will feature more two-tight-end sets going forward.",neutral,"scheme note, no single player named"
"Star running back cleared the concussion protocol and is officially active for Sunday's game.",positive,"cleared protocol"
"The quarterback was benched at halftime after throwing three interceptions in the first two quarters.",negative,"in-game benching"
"Team announced a roster move claiming a wide receiver off waivers to add depth at the position.",neutral,"depth move, no immediate role clarity"
"Running back left Sunday's game early with a shoulder injury and did not return; X-rays were reportedly negative.",negative,"left game, negative x-rays partially reassuring"
"Head coach said the star receiver's practice reps will be managed closely this week as a veteran rest day, not an injury concern.",neutral,"scheduled rest, not injury-driven"
